Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2022-10-23;54,00;8,00;35,00;20,00;23,00;5,00
2022-10-30;51,00;12,00;54,00;38,00;35,00;0,00
2022-11-06;36,00;8,00;43,00;29,00;25,00;7,00
2022-11-13;41,00;11,00;36,00;28,00;29,00;17,00
2022-11-20;36,00;29,00;44,00;18,00;20,00;11,00
2022-11-27;41,00;15,00;43,00;26,00;13,00;11,00
2022-12-04;33,00;12,00;35,00;20,00;13,00;30,00
2022-12-11;45,00;19,00;33,00;32,00;18,00;15,00
2022-12-18;35,00;5,00;30,00;43,00;28,00;0,00
2022-12-25;43,00;14,00;52,00;15,00;46,00;11,00
2023-01-01;57,00;6,00;51,00;33,00;58,00;9,00
2023-01-08;50,00;0,00;41,00;34,00;50,00;18,00
2023-01-15;47,00;14,00;53,00;33,00;44,00;10,00
2023-01-22;67,00;9,00;53,00;28,00;36,00;5,00
2023-01-29;64,00;11,00;57,00;36,00;33,00;12,00
2023-02-05;35,00;9,00;62,00;22,00;37,00;11,00
2023-02-12;43,00;16,00;68,00;38,00;44,00;0,00
2023-02-19;69,00;9,00;58,00;32,00;41,00;10,00
2023-02-26;48,00;14,00;93,00;43,00;13,00;12,00
2023-03-05;78,00;0,00;62,00;33,00;32,00;14,00
2023-03-12;49,00;9,00;47,00;43,00;24,00;17,00
2023-03-19;33,00;45,00;37,00;28,00;32,00;10,00
2023-03-26;53,00;9,00;46,00;30,00;19,00;8,00
2023-04-02;41,00;4,00;28,00;35,00;12,00;7,00
2023-04-09;43,00;19,00;47,00;18,00;25,00;8,00
2023-04-16;52,00;8,00;44,00;32,00;16,00;9,00
2023-04-23;71,00;48,00;50,00;33,00;34,00;16,00
2023-04-30;45,00;16,00;33,00;35,00;33,00;6,00
2023-05-07;48,00;0,00;53,00;25,00;21,00;5,00
2023-05-14;54,00;5,00;51,00;36,00;36,00;8,00
2023-05-21;39,00;26,00;48,00;44,00;18,00;20,00
2023-05-28;41,00;0,00;30,00;35,00;21,00;4,00
2023-06-04;46,00;16,00;39,00;31,00;30,00;9,00
2023-06-11;39,00;18,00;47,00;29,00;16,00;15,00
