Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2020-06-28;18,00;0,00;0,00;25,88;0,00;17,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;13,00;0,00;12,00;0,00;27,00;11,57;0,00;0,00;0,00;11,57;0,00;28,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;11,00
2020-07-05;14,00;0,00;0,00;12,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;20,36;0,00;59,00;0,00;22,00;27,00;26,00;0,00;28,00;14,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;29,00
2020-07-12;21,00;0,00;0,00;53,05;0,00;0,00;24,00;0,00;0,00;0,00;0,00;29,00;56,00;20,00;22,00;28,00;0,00;44,00;0,00;0,00;0,00;13,13;17,06;0,00;0,00;0,00;0,00;39,38;0,00;30,00;24,00;0,00;11,00;18,00;20,00;30,00;14,00;14,00;49,00;23,00;0,00;0,00;0,00;15,00
2020-07-19;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;25,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;38,00;0,00;21,00;0,00;0,00;52,00;18,00;0,00;0,00;0,00;0,00;0,00;32,00;17,00
2020-07-26;16,00;16,00;0,00;0,00;22,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;25,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;17,23;0,00;0,00;14,77;0,00;0,00;21,00;17,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;29,00
2020-08-02;28,00;16,15;0,00;0,00;0,00;0,00;0,00;47,00;0,00;0,00;18,00;35,00;32,00;0,00;33,00;0,00;0,00;0,00;15,00;0,00;14,00;0,00;0,00;14,00;22,91;68,73;12,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;21,00;0,00;0,00;0,00;18,00;0,00;23,00;0,00
2020-08-09;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,21;0,00;0,00;0,00;14,03;0,00;16,00;0,00;0,00;18,00;0,00;0,00;14,00;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;23,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;33,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;12,00;26,00;17,00;0,00;18,00;0,00;20,00;53,00;0,00;0,00;0,00;36,00;0,00
2020-08-23;24,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;24,00;21,00;0,00;0,00;22,00;28,00;0,00;0,00;0,00;0,00;13,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;17,68;29,05;0,00;0,00;20,00;13,00;0,00;0,00;0,00;56,00;0,00;0,00;19,00;0,00;15,00;0,00;0,00;0,00
2020-08-30;50,00;0,00;75,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;11,00;0,00;20,00;20,00;0,00;0,00;11,84;13,16;0,00;0,00;16,25;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;12,00;29,00;23,00;0,00;0,00;0,00;29,00;0,00;0,00;39,00
