Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2020-08-23;25,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;8,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,86;9,52;14,29;5,95;14,00;24,00;0,00;0,00;21,43;26,79;5,36;8,93;88,64;6,82;9,09;11,36;18,00;0,00;5,00;14,00;27,00;14,00;0,00;0,00
2020-08-30;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;16,80;0,00;0,00;4,80;13,00;6,00;5,00;0,00;8,57;32,57;0,00;0,00;86,40;0,00;0,00;9,60;21,00;4,00;0,00;16,00;39,00;14,00;0,00;14,00
2020-09-06;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;32,00;0,00;0,00;32,24;3,72;8,68;0,00;4,00;0,00;8,00;0,00;20,06;25,53;3,65;12,76;62,00;7,15;0,00;7,15;10,00;7,00;0,00;20,00;33,00;7,00;0,00;9,00
2020-09-13;16,00;0,00;0,00;0,00;16,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;5,00;23,38;0,00;8,62;0,00;21,00;0,00;0,00;7,00;7,11;30,22;0,00;8,89;59,43;0,00;22,86;18,29;0,00;0,00;8,00;20,00;25,00;16,00;8,00;0,00
2020-09-20;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;22,91;10,18;7,64;0,00;8,00;0,00;0,00;0,00;7,00;24,50;0,00;8,75;70,00;9,33;7,00;0,00;20,00;0,00;11,00;10,00;31,00;8,00;0,00;0,00
2020-09-27;36,00;0,00;0,00;0,00;0,00;6,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;17,00;0,00;16,14;0,00;8,69;0,00;9,00;12,00;0,00;0,00;0,00;23,40;7,20;3,60;51,75;13,50;0,00;0,00;22,00;13,00;10,00;6,00;51,00;19,00;7,00;5,00
2020-10-04;16,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;20,92;0,00;0,00;0,00;15,00;0,00;0,00;0,00;8,89;23,11;0,00;0,00;50,29;13,71;0,00;0,00;9,00;0,00;0,00;7,00;35,00;14,00;0,00;0,00
2020-10-11;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;25,88;4,50;7,88;16,88;0,00;0,00;0,00;22,00;0,00;34,20;5,40;0,00;45,00;4,50;0,00;11,25;12,00;0,00;0,00;12,00;36,00;13,00;0,00;0,00
2020-10-18;27,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;8,00;0,00;6,14;0,00;12,27;9,82;14,00;0,00;0,00;5,00;7,20;19,80;3,60;0,00;49,50;18,00;9,00;0,00;10,00;11,00;0,00;11,00;28,00;13,00;6,00;14,00
2020-10-25;34,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;8,00;0,00;0,00;21,86;13,36;0,00;0,00;0,00;0,00;0,00;0,00;8,95;8,95;0,00;0,00;54,40;4,53;4,53;11,33;9,00;0,00;10,00;21,00;22,00;13,00;0,00;6,00
2020-11-01;27,00;10,00;0,00;0,00;0,00;6,00;0,00;15,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;11,05;0,00;3,68;7,36;7,00;0,00;0,00;0,00;12,60;14,40;7,20;0,00;47,25;0,00;4,50;0,00;14,00;10,00;0,00;6,00;27,00;0,00;0,00;0,00
2020-11-08;17,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;11,00;8,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;13,00;14,57;4,86;10,93;23,07;14,00;5,00;21,00;0,00;5,67;20,78;7,56;0,00;53,43;7,29;0,00;0,00;11,00;8,00;0,00;16,00;25,00;0,00;7,00;6,00
2020-11-15;20,00;13,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;14,00;6,00;0,00;0,00;0,00;20,00;0,00;0,00;5,00;6,00;9,00;0,00;7,00;0,00;14,55;3,64;0,00;40,00;8,89;13,33;13,33;11,00;0,00;10,00;4,00;28,00;15,00;0,00;5,00
