Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2022-10-02;44,00;0,00;0,00;0,00;0,00;4,00;6,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;11,00;0,00;45,22;0,00;4,89;11,00;16,00;9,00;8,00;0,00;0,00;52,80;0,00;0,00;113,47;0,00;27,79;11,58;17,00;13,00;0,00;22,00;42,00;0,00;0,00;14,00
2022-10-09;42,00;7,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;7,00;0,00;46,94;0,00;16,06;11,12;0,00;0,00;6,00;13,00;5,48;47,48;5,48;0,00;98,00;16,33;46,67;30,33;25,00;10,00;0,00;19,00;59,00;9,00;0,00;7,00
2022-10-16;36,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;47,17;6,21;12,41;8,69;16,00;6,00;13,00;0,00;10,80;54,00;7,20;0,00;94,50;11,25;24,75;22,50;22,00;0,00;0,00;17,00;47,00;0,00;15,00;9,00
2022-10-23;16,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;30,77;8,62;19,69;9,85;11,00;0,00;0,00;0,00;0,00;35,56;7,11;8,89;96,00;0,00;13,71;22,86;21,00;5,00;0,00;10,00;46,00;17,00;0,00;12,00
2022-10-30;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;46,25;0,00;11,25;0,00;17,00;9,00;20,00;0,00;7,14;41,07;0,00;5,36;95,45;11,36;20,45;25,00;16,00;12,00;0,00;0,00;35,00;9,00;0,00;4,00
2022-11-06;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;7,00;28,00;13,00;5,00;0,00;17,00;37,50;0,00;21,25;5,00;16,00;0,00;0,00;7,00;14,12;40,59;15,88;3,53;78,46;11,54;11,54;6,92;16,00;10,00;7,00;11,00;41,00;11,00;14,00;9,00
2022-11-13;21,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;29,65;7,41;6,18;4,94;7,00;0,00;0,00;0,00;0,00;22,75;14,00;0,00;72,33;0,00;25,67;23,33;4,00;20,00;9,00;21,00;16,00;0,00;0,00;14,00
2022-11-20;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;38,40;0,00;10,80;18,00;14,00;0,00;0,00;10,00;8,82;0,00;3,53;0,00;76,15;11,54;9,23;4,62;17,00;8,00;0,00;20,00;24,00;0,00;0,00;9,00
2022-11-27;23,00;0,00;0,00;0,00;0,00;0,00;8,00;6,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,95;0,00;0,00;18,16;11,00;0,00;6,00;0,00;0,00;35,38;7,08;0,00;85,10;16,10;23,00;11,50;12,00;7,00;0,00;0,00;37,00;10,00;0,00;13,00
2022-12-04;34,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;7,00;10,00;0,00;0,00;0,00;0,00;6,00;0,00;36,52;0,00;11,33;0,00;9,00;0,00;0,00;0,00;16,11;28,63;0,00;0,00;56,67;6,80;15,87;13,60;8,00;4,00;0,00;0,00;39,00;9,00;0,00;0,00
2022-12-11;40,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;9,00;38,79;13,33;8,48;4,85;0,00;0,00;11,00;0,00;0,00;29,57;8,70;0,00;46,67;17,78;8,89;11,11;12,00;20,00;15,00;6,00;35,00;0,00;0,00;7,00
2022-12-18;20,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;6,00;0,00;0,00;0,00;0,00;9,00;0,00;34,12;7,06;16,47;9,41;8,00;0,00;15,00;0,00;10,91;41,82;18,18;0,00;46,67;8,89;11,11;6,67;13,00;13,00;0,00;14,00;32,00;11,00;0,00;18,00
2022-12-25;40,00;0,00;0,00;23,00;0,00;0,00;0,00;8,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;59,39;9,70;6,06;6,06;10,00;0,00;0,00;10,00;10,91;58,18;16,36;9,09;106,67;13,33;40,00;15,56;18,00;0,00;0,00;14,00;42,00;0,00;0,00;27,00
2023-01-01;42,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;91,41;21,00;0,00;8,65;11,00;7,00;7,00;0,00;5,48;69,39;9,13;0,00;140,00;21,00;46,67;28,00;15,00;0,00;8,00;22,00;62,00;10,00;6,00;12,00
2023-01-08;60,00;0,00;0,00;0,00;4,00;0,00;0,00;5,00;0,00;5,00;13,00;9,00;0,00;0,00;5,00;4,00;10,00;5,00;0,00;85,71;15,92;12,24;0,00;7,00;6,00;5,00;0,00;10,59;61,76;0,00;0,00;150,00;25,38;41,54;25,38;25,00;10,00;17,00;22,00;62,00;13,00;5,00;14,00
2023-01-15;61,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;82,16;9,96;16,18;7,47;4,00;0,00;8,00;0,00;8,97;68,18;23,32;0,00;142,33;31,63;38,41;22,59;24,00;8,00;0,00;19,00;39,00;6,00;0,00;9,00
2023-01-22;64,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;8,00;0,00;0,00;7,00;12,00;0,00;4,00;0,00;6,00;0,00;0,00;92,31;6,15;18,46;3,69;17,00;0,00;14,00;0,00;8,89;55,11;10,67;0,00;153,14;6,86;38,86;20,57;13,00;17,00;15,00;28,00;44,00;14,00;0,00;22,00
2023-01-29;58,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;6,00;11,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;82,68;6,17;11,11;9,87;16,00;0,00;10,00;0,00;12,30;56,24;7,03;7,03;194,88;11,60;37,12;27,84;13,00;0,00;0,00;25,00;65,00;8,00;4,00;17,00
2023-02-05;75,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;15,00;0,00;9,00;0,00;18,00;15,00;0,00;0,00;99,59;12,30;19,67;25,82;11,00;0,00;10,00;7,00;7,14;75,00;5,36;7,14;179,55;22,73;40,91;29,55;21,00;4,00;0,00;12,00;56,00;10,00;0,00;19,00
2023-02-12;64,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;15,00;8,00;24,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;62,77;6,15;28,31;0,00;16,00;0,00;19,00;0,00;5,33;55,11;8,89;0,00;166,86;25,14;29,71;16,00;24,00;10,00;0,00;15,00;47,00;15,00;0,00;10,00
2023-02-19;68,00;0,00;0,00;0,00;7,00;0,00;0,00;6,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;9,00;0,00;11,00;72,95;9,89;13,60;4,95;7,00;0,00;4,00;7,00;8,95;46,53;14,32;0,00;154,13;20,40;43,07;20,40;20,00;6,00;0,00;35,00;72,00;5,00;6,00;13,00
2023-02-26;74,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;11,00;0,00;11,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;98,67;0,00;8,63;0,00;8,00;0,00;0,00;0,00;12,63;64,98;0,00;5,41;136,44;16,19;32,38;32,38;28,00;0,00;6,00;19,00;68,00;0,00;0,00;5,00
2023-03-05;81,00;0,00;0,00;0,00;0,00;5,00;6,00;0,00;0,00;0,00;4,00;22,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;106,77;0,00;18,41;6,14;16,00;11,00;16,00;0,00;5,40;66,60;5,40;0,00;166,50;18,00;24,75;18,00;15,00;0,00;4,00;25,00;71,00;10,00;0,00;28,00
2023-03-12;64,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;94,77;13,54;20,92;11,08;12,00;0,00;0,00;0,00;17,78;46,22;12,44;3,56;137,14;11,43;32,00;13,71;17,00;0,00;0,00;28,00;72,00;11,00;5,00;16,00
2023-03-19;72,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;24,00;6,00;0,00;0,00;10,00;9,00;0,00;0,00;108,61;9,76;24,41;0,00;22,00;11,00;12,00;0,00;12,29;61,46;0,00;0,00;148,50;20,25;54,00;33,75;33,00;11,00;6,00;34,00;56,00;14,00;5,00;17,00
2023-03-26;59,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;93,42;12,29;22,13;7,38;17,00;7,00;5,00;0,00;16,09;60,79;0,00;3,58;140,69;18,15;22,69;18,15;24,00;12,00;5,00;25,00;69,00;10,00;0,00;17,00
2023-04-02;70,00;4,00;0,00;5,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;11,00;105,61;14,74;25,79;7,37;10,00;0,00;10,00;0,00;12,56;55,64;16,15;17,95;151,29;15,81;40,65;11,29;19,00;0,00;12,00;19,00;68,00;0,00;0,00;18,00
2023-04-09;73,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;11,00;0,00;0,00;4,00;0,00;0,00;7,00;0,00;4,00;7,00;0,00;104,63;10,95;15,82;7,30;10,00;6,00;17,00;0,00;16,02;67,66;8,90;0,00;134,59;11,41;27,38;18,25;32,00;0,00;0,00;16,00;72,00;0,00;0,00;0,00
2023-04-16;66,00;9,00;0,00;6,00;0,00;8,00;0,00;5,00;10,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,44;15,89;9,78;7,33;14,00;0,00;13,00;0,00;3,57;74,92;3,57;0,00;172,97;20,48;45,52;13,66;28,00;6,00;0,00;28,00;69,00;12,00;0,00;12,00
2023-04-23;77,00;0,00;0,00;7,00;0,00;0,00;0,00;5,00;8,00;9,00;0,00;16,00;0,00;7,00;8,00;4,00;0,00;0,00;6,00;98,11;12,42;19,87;8,69;0,00;13,00;11,00;0,00;10,74;89,53;3,58;5,37;165,32;20,38;33,97;13,59;31,00;7,00;14,00;32,00;70,00;0,00;0,00;20,00
2023-04-30;65,00;4,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;91,98;13,49;18,40;13,49;26,00;0,00;10,00;0,00;10,83;88,47;21,67;0,00;201,96;16,25;39,46;20,89;23,00;10,00;0,00;35,00;55,00;21,00;0,00;4,00
2023-05-07;72,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,55;21,10;14,90;14,90;18,00;8,00;5,00;4,00;5,40;95,40;9,00;9,00;185,81;18,58;23,23;9,29;24,00;30,00;0,00;11,00;85,00;8,00;0,00;8,00
2023-05-14;72,00;0,00;0,00;0,00;0,00;0,00;5,00;6,00;0,00;9,00;8,00;8,00;0,00;0,00;11,00;0,00;4,00;0,00;0,00;104,95;13,42;24,41;0,00;28,00;4,00;12,00;0,00;7,20;79,20;12,60;0,00;155,25;18,00;40,50;11,25;26,00;9,00;6,00;28,00;54,00;8,00;0,00;14,00
2023-05-21;86,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;10,00;0,00;13,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;110,57;19,66;20,89;8,60;17,00;0,00;4,00;0,00;19,71;121,83;14,33;10,75;172,00;18,11;38,47;0,00;30,00;7,00;0,00;37,00;64,00;12,00;0,00;9,00
2023-05-28;77,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;7,00;5,00;14,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;86,78;20,78;23,22;8,56;20,00;10,00;0,00;0,00;17,91;96,70;7,16;5,37;142,68;13,59;29,44;0,00;26,00;5,00;10,00;36,00;47,00;13,00;0,00;6,00
2023-06-04;76,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;19,00;8,00;7,00;0,00;0,00;0,00;4,00;0,00;89,48;22,06;23,29;9,81;23,00;0,00;5,00;0,00;30,05;77,77;15,91;0,00;186,55;9,21;39,15;9,21;18,00;11,00;0,00;27,00;76,00;8,00;0,00;11,00
2023-06-11;44,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;81,89;9,78;13,44;0,00;28,00;18,00;9,00;8,00;14,08;102,08;5,28;0,00;220,00;25,47;46,32;13,89;18,00;0,00;6,00;30,00;79,00;0,00;0,00;0,00
