Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-07-19;59,00;0,00;0,00;0,00;9,44;5,00;5,00;7,00;0,00;7,00;0,00;6,00;0,00;0,00;11,00;6,00;0,00;0,00;0,00;4,00;3,00;5,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00
2020-07-26;53,00;0,00;4,61;4,61;11,52;0,00;0,00;4,00;0,00;5,00;0,00;9,00;7,00;0,00;8,00;8,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;46,00;0,00;0,00;0,00;11,50;0,00;10,00;0,00;7,00;7,00;0,00;3,00;3,00;5,00;6,00;4,00;12,00;0,00;4,00;14,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;8,00;6,00;4,00;5,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;7,00
2020-08-09;48,00;0,00;0,00;0,00;4,68;10,00;0,00;3,00;0,00;0,00;0,00;9,00;0,00;0,00;6,00;0,00;10,00;9,00;0,00;0,00;0,00;5,00;0,00;4,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;4,00;0,00;0,00;3,00
2020-08-16;56,00;0,00;0,00;0,00;8,17;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;7,00;0,00;6,00;5,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-08-23;43,00;6,97;0,00;0,00;12,78;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;9,00;4,00;4,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;4,00;0,00;0,00;3,00;0,00;9,00;3,00;7,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;37,00;0,00;2,31;5,78;12,72;0,00;0,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;5,00;7,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;11,00;0,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;0,00;4,00
2020-09-06;35,00;0,00;3,50;0,00;9,33;0,00;4,00;6,00;0,00;5,00;0,00;12,00;0,00;0,00;9,00;11,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;3,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;13,00
2020-09-13;36,00;0,00;3,48;0,00;5,81;0,00;0,00;0,00;0,00;0,00;0,00;13,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;6,00;5,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;4,00;0,00;5,00;9,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00
2020-09-20;44,00;4,63;0,00;5,79;8,11;0,00;0,00;0,00;9,00;5,00;0,00;8,00;0,00;0,00;9,00;5,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;30,00;0,00;8,40;0,00;12,00;0,00;0,00;0,00;4,00;0,00;0,00;11,00;0,00;5,00;7,00;5,00;0,00;3,00;6,00;3,00;9,00;0,00;5,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2020-10-04;44,00;0,00;9,26;10,42;3,47;0,00;0,00;14,00;0,00;3,00;0,00;7,00;4,00;4,00;5,00;5,00;0,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;10,00;0,00;7,00;10,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-10-11;31,00;0,00;0,00;4,59;6,89;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;5,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2020-10-18;33,00;5,89;0,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;8,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;0,00;0,00;7,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;8,00;0,00;0,00;0,00
2020-10-25;11,00;7,33;0,00;0,00;12,22;0,00;0,00;0,00;0,00;5,00;0,00;4,00;0,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;4,00;0,00;7,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;12,00;8,40;0,00;0,00;13,20;5,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;8,00;0,00;3,00;0,00;0,00;0,00;8,00;0,00
2020-11-08;8,00;0,00;0,00;3,43;4,57;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;10,00;3,75;0,00;0,00;5,00;7,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;4,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00
2020-11-22;9,00;4,50;0,00;0,00;5,63;0,00;0,00;3,00;0,00;6,00;0,00;7,00;0,00;16,00;0,00;7,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-11-29;9,00;0,00;9,00;0,00;18,00;0,00;8,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;3,00;6,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;16,00;6,86;0,00;0,00;20,57;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;7,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;7,00;0,00;6,00;12,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;5,00;4,00;6,00;0,00;0,00;0,00
2020-12-13;19,00;0,00;0,00;5,59;4,47;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;8,00;0,00;23,00;0,00;5,00;5,00;11,00;0,00;0,00;0,00;10,00;0,00;0,00;11,00;5,00;7,00;4,00;0,00;3,00;0,00;0,00;11,00;8,00;0,00;0,00;0,00;8,00
2020-12-20;26,00;20,09;0,00;0,00;24,82;6,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;5,00;16,00;8,00;4,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;13,00;0,00;0,00;6,00;0,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-12-27;33,00;3,41;3,41;0,00;15,93;0,00;7,00;0,00;0,00;13,00;4,00;4,00;0,00;0,00;0,00;11,00;0,00;21,00;0,00;0,00;7,00;0,00;5,00;3,00;0,00;3,00;7,00;10,00;9,00;0,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;8,00
2021-01-03;23,00;0,00;3,63;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;16,00;0,00;0,00;0,00;4,00;0,00;5,00;4,00;0,00;0,00;8,00;0,00;0,00;6,00;0,00;0,00;10,00;4,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;0,00;7,00;4,00;0,00
2021-01-10;18,00;0,00;4,80;0,00;7,20;5,00;0,00;0,00;0,00;6,00;0,00;14,00;70,00;4,00;0,00;5,00;5,00;3,00;9,00;4,00;0,00;5,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;5,00;0,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;11,00
2021-01-17;20,00;0,00;0,00;0,00;15,29;3,00;4,00;6,00;0,00;0,00;8,00;6,00;32,00;12,00;10,00;0,00;4,00;10,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;16,00;0,00;0,00;0,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-01-24;55,00;0,00;0,00;7,02;0,00;3,00;0,00;0,00;5,00;3,00;0,00;7,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;7,00;9,00;0,00;0,00;0,00;0,00;5,00;7,00;9,00;6,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;38,00;0,00;0,00;0,00;11,52;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;11,00;5,00;4,00;4,00;0,00;6,00;0,00;0,00;17,00;0,00;0,00;6,00;0,00;3,00;3,00;0,00;0,00;5,00
2021-02-07;7,00;0,00;2,33;5,83;3,50;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;6,00;0,00;0,00;6,00;5,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;3,00;4,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;12,00;0,00;0,00;0,00;3,60;8,00;0,00;8,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;4,00;3,00;0,00;8,00;7,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;3,00;4,00
2021-02-21;10,00;6,67;0,00;0,00;13,33;8,00;0,00;5,00;0,00;7,00;0,00;4,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;6,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00
2021-02-28;13,00;0,00;0,00;2,36;10,64;0,00;0,00;66,00;0,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00;4,00;0,00;3,00;0,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;9,00;0,00;6,43;0,00;11,57;0,00;0,00;22,00;9,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;8,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;4,00;0,00;0,00
2021-03-14;7,00;4,67;0,00;3,50;5,83;0,00;0,00;9,00;0,00;6,00;0,00;4,00;4,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;10,00;10,00;3,00;0,00;0,00;0,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;5,00;13,00;4,00
2021-03-21;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00
2021-03-28;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;6,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;8,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00
2021-04-04;10,00;0,00;7,50;3,75;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;14,00;0,00;0,00;0,00;5,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;5,00;3,00;0,00
2021-04-18;8,00;0,00;0,00;0,00;4,57;0,00;4,00;3,00;0,00;4,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;16,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;5,00
2021-04-25;7,00;4,67;7,00;4,67;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;3,00;3,00;4,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;13,00;0,00;0,00;8,27;7,09;4,00;0,00;0,00;0,00;0,00;7,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
