Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
07/02/2021;16;9,14;9,14;0;9,14;13,87;0;8,53;0;0;0;0;0;12;11;18;0;0;6;7;8;0;0;0;0;12;0;0;6;0;0;7;0;0;25;0;7;0;0;0;8;10;0;18
14/02/2021;23;16,73;33,45;12,55;8,36;17,77;15,68;0;0;0;0;0;12;0;0;21;0;7;0;11;13;0;11;11;7;0;0;13;0;7;0;0;0;8;0;13;0;0;8;0;0;13;14;0
21/02/2021;20;28;6;0;6;0;0;9,47;0;0;7;9;6;0;0;24;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
28/02/2021;21;12,6;0;0;8,4;13,65;6,3;15,75;16,8;0;9;0;11;9;0;25;9;0;6;16;0;0;0;7;0;0;10;0;0;16;0;0;0;12;0;0;0;0;0;0;0;18;0;0
07/03/2021;9;0;11,25;0;0;0;0;6,75;12,38;13;8;10;0;0;0;28;12;0;6;10;0;0;6;0;10;0;0;15;0;0;0;0;0;0;8;6;0;0;0;19;0;11;0;6
14/03/2021;13;0;0;19,5;0;0;18,42;0;19,5;6;0;0;18;0;0;0;0;0;23;0;9;6;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
21/03/2021;46;0;12,55;6,27;0;0;0;0;0;0;0;53;0;6;0;14;8;0;17;0;0;0;0;0;9;0;0;0;0;20;8;0;0;11;0;8;0;8;0;0;0;0;7;0
28/03/2021;0;5;4;0;3;0;0;11;10;0;0;0;27;18;0;20;18;0;16;0;0;0;9;0;13;0;0;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/04/2021;17;0;10,63;0;0;6;0;0;0;0;0;0;13;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;10;0;0;0;0;25;0;0;0;0;0;6;0;0;0;0
11/04/2021;12;8;10;0;14;0;0;0;0;0;0;0;0;0;13;7;0;10;11;0;6;12;0;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;15
18/04/2021;23;0;0;6,27;0;0;0;0;7,32;9;9;0;7;0;7;0;23;16;0;0;10;0;13;0;0;7;0;0;0;0;6;11;10;16;8;0;11;0;0;0;0;0;0;0
25/04/2021;0;3;9;0;0;0;0;0;0;0;0;8;0;0;18;12;0;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;10;0;0;0;0;0;0;8;0
02/05/2021;8;10;0;0;0;20,57;0;18,29;0;9;0;0;18;0;0;0;0;0;14;0;0;0;0;0;0;6;6;7;0;0;0;0;0;0;8;0;0;0;0;8;0;0;0;0
09/05/2021;15;0;0;10,71;10,71;12,86;19,29;6,43;0;0;0;0;8;9;0;0;0;9;0;0;0;0;0;19;0;0;7;0;0;0;15;0;0;0;10;0;0;0;0;0;0;0;0;0
16/05/2021;7;0;11,67;18,67;32,67;9,33;9,33;0;7;0;11;0;16;0;9;12;6;10;0;0;0;0;0;0;0;0;0;0;7;0;11;0;0;0;6;0;0;0;0;0;13;0;0;15
23/05/2021;33;0;0;0;0;18,1;0;0;0;10;0;0;19;0;16;0;25;16;10;16;0;0;11;0;0;0;16;7;10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/05/2021;14;0;0;9,33;11,67;7,54;16,15;33,38;0;0;31;6;0;10;8;28;10;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;14;0;0;7;8;0;0;0
06/06/2021;16;0;0;12;8;0;0;16;6;0;0;6;0;10;0;0;0;11;8;0;19;0;0;7;0;0;0;11;14;0;0;7;0;0;0;17;0;0;0;0;0;0;0;0
13/06/2021;42;0;10,5;0;6,3;0;0;10,5;0;0;0;0;11;8;0;8;0;0;0;0;0;0;18;12;0;0;0;0;17;0;6;0;0;0;14;13;0;0;15;0;0;0;7;0
20/06/2021;38;0;6,33;12,67;0;23,22;24,28;0;6,33;0;0;7;13;0;12;6;15;0;0;0;0;0;17;15;0;0;9;18;0;6;11;0;0;0;0;0;0;0;6;0;0;0;0;0
27/06/2021;40;0;0;18,95;8,42;18,95;14,74;10,53;0;6;0;7;0;0;16;7;18;11;11;16;8;0;0;8;0;11;17;0;8;0;0;26;0;14;0;10;0;0;0;0;0;0;0;0
04/07/2021;54;0;14,54;10,38;8,31;47,77;22,85;16,62;0;39;12;13;16;0;18;0;14;10;0;31;0;0;25;13;0;14;13;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
11/07/2021;37;0;28,29;30,47;0;32,77;0;9,51;7,4;14;0;7;26;0;7;0;8;27;0;17;15;0;0;9;0;0;19;0;0;10;0;10;14;0;0;10;0;0;0;15;0;8;0;27
18/07/2021;36;0;21,18;14,82;0;0;18;32,82;0;12;0;23;10;18;19;16;33;0;0;33;0;0;0;11;16;0;30;11;0;0;14;8;0;0;0;11;0;0;0;0;0;0;0;0
25/07/2021;30;10,71;30;10,71;21,43;22,76;0;7,24;21,72;0;0;40;19;0;16;11;32;0;0;21;0;0;7;0;0;7;15;14;0;0;13;19;0;7;10;0;0;0;0;0;7;0;0;0
01/08/2021;36;0;0;0;10,59;0;0;19,06;0;0;0;12;11;9;16;14;11;12;0;30;16;0;17;15;0;0;15;0;0;0;0;7;0;0;0;0;9;0;14;0;0;0;0;0
08/08/2021;37;0;6,53;0;30,47;13,74;0;12,69;0;0;0;10;16;15;0;19;19;21;7;21;10;0;0;14;0;0;9;9;0;0;0;0;8;0;26;0;0;0;0;0;0;20;0;8
15/08/2021;41;19,42;17,26;19,42;17,26;13,67;0;22,08;0;0;0;0;38;0;10;8;19;14;0;31;20;0;18;14;0;0;10;0;8;17;11;9;0;0;7;9;0;13;0;15;0;0;0;0
22/08/2021;36;16,94;16,94;0;12,71;14,82;0;10,59;12,71;16;0;0;15;27;0;0;0;19;0;19;10;9;0;0;0;0;0;10;0;11;11;7;0;0;14;0;0;0;0;0;0;0;0;0
29/08/2021;16;20;0;36;8;21,33;10,67;17,07;14,93;0;0;25;0;0;0;0;0;10;0;28;10;7;0;7;19;0;0;0;0;8;0;0;0;0;0;0;0;17;11;0;0;0;0;7
05/09/2021;20;13,33;0;11,11;24,44;17,89;0;0;7,37;12;8;0;16;0;0;0;0;0;0;0;31;7;12;10;18;7;0;0;9;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0
12/09/2021;37;10,28;24,67;0;18,5;0;19,53;17,47;15,42;11;14;0;28;0;0;0;11;30;31;0;0;15;7;0;0;7;0;0;0;0;10;0;0;0;0;15;17;0;0;0;0;0;0;0
19/09/2021;12;24;0;22;6;0;14;10;0;14;0;0;13;19;0;24;0;0;14;31;0;31;8;0;0;0;7;0;7;0;11;0;0;0;0;0;0;13;0;0;0;0;0;0
26/09/2021;25;20,83;18,75;16,67;0;9,38;0;20,83;13,54;11;0;0;13;0;7;0;12;0;9;0;0;9;0;0;0;0;7;0;0;0;0;10;20;14;0;7;0;0;0;0;0;0;0;0
03/10/2021;0;15;16;6;16;11;0;22;35;12;0;0;11;23;14;0;0;0;22;22;18;13;9;12;33;0;16;0;0;22;0;7;0;9;0;0;0;0;0;0;0;40;8;0
