Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-11-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;13,00
2020-12-06;51,00;36,27;17,00;14,73;0,00;0,00;18,00;0,00;16,00;0,00;15,30;33,15;0,00;0,00;0,00;0,00;0,00;0,00;13,36;26,71;0,00
2020-12-13;0,00;0,00;0,00;12,00;88,00;0,00;43,00;18,00;0,00;0,00;19,00;0,00;5,00;6,00;0,00;0,00;11,00;0,00;16,00;0,00;0,00
2020-12-20;23,00;32,20;17,25;0,00;0,00;18,00;0,00;0,00;23,00;0,00;46,00;71,56;0,00;23,00;0,00;25,56;40,89;0,00;32,68;0,00;0,00
2020-12-27;17,00;47,60;0,00;0,00;24,93;0,00;0,00;34,00;0,00;17,00;68,00;55,86;0,00;0,00;0,00;45,33;0,00;0,00;64,36;0,00;20,64
2021-01-03;45,00;36,92;0,00;0,00;0,00;0,00;0,00;30,00;0,00;15,00;85,00;22,50;0,00;0,00;15,88;60,88;0,00;0,00;51,25;0,00;0,00
2021-01-10;0,00;14,00;27,00;0,00;0,00;18,00;0,00;14,00;0,00;0,00;31,00;14,00;0,00;0,00;0,00;15,00;0,00;0,00;31,00;0,00;12,00
2021-01-17;0,00;33,00;30,00;0,00;36,00;24,00;0,00;0,00;59,00;0,00;18,00;12,00;0,00;0,00;0,00;12,00;13,00;0,00;41,00;15,00;0,00
2021-01-24;0,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;24,00;0,00;0,00;0,00;26,00;0,00;0,00;26,00;0,00;0,00
2021-01-31;14,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,40;58,80;42,00;0,00;0,00;0,00;0,00;0,00;14,00;31,82;42,00;0,00
2021-02-07;42,00;36,32;23,84;0,00;0,00;0,00;0,00;0,00;15,00;15,75;65,63;55,13;0,00;0,00;0,00;28,88;26,25;0,00;66,71;23,47;45,71
2021-02-14;32,00;28,57;0,00;30,86;0,00;28,00;0,00;0,00;24,00;0,00;61,33;45,33;0,00;0,00;0,00;0,00;13,33;0,00;45,54;0,00;19,69
2021-02-21;0,00;46,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;11,00;22,00;0,00;0,00;15,00;18,00;0,00;18,00;20,00;0,00;0,00
2021-02-28;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;11,00;0,00;18,00;32,00;48,00;0,00
2021-03-07;19,00;13,41;20,12;0,00;0,00;0,00;0,00;0,00;16,00;0,00;16,63;47,50;0,00;0,00;29,86;70,57;0,00;0,00;0,00;36,81;40,38
2021-03-14;35,00;31,61;12,42;28,23;0,00;0,00;13,00;0,00;0,00;0,00;20,00;57,50;0,00;0,00;0,00;21,54;16,15;0,00;26,25;43,75;0,00
2021-03-21;0,00;0,00;19,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;19,00;16,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;0,00;50,00;34,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;18,00;0,00;0,00;33,75;0,00;0,00;0,00;0,00;0,00;20,57;38,57;18,00;0,00;33,43;0,00;41,14;25,71;0,00;22,80;0,00;81,60
2021-04-11;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;16,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;53,00
2021-04-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;6,00;6,00;32,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;17,00
