Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-10-25;0,00;21,00;0,00;28,00;0,00;14,00;0,00;12,00;11,00;0,00;7,00;0,00;0,00;0,00;0,00;5,00;0,00;12,00;0,00;9,00;0,00
2020-11-01;0,00;0,00;12,00;0,00;0,00;0,00;43,00;10,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;27,00;0,00
2020-11-08;13,00;12,00;12,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;23,40;26,00;0,00;0,00;0,00;30,33;0,00;0,00;0,00;0,00;0,00
2020-11-15;0,00;0,00;22,00;0,00;19,00;0,00;0,00;0,00;13,00;0,00;0,00;14,00;0,00;10,00;0,00;6,00;14,00;0,00;8,00;0,00;0,00
2020-11-22;16,00;19,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,67;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00
2020-11-29;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;8,00;27,00;12,00;0,00;0,00;0,00;0,00;13,00;16,00;22,00;0,00;0,00
2020-12-06;18,00;0,00;0,00;0,00;0,00;34,71;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;0,00;18,00;28,00;0,00;41,00;19,00;19,00;0,00;20,00;0,00;0,00;6,00;0,00;0,00;6,00;8,00;0,00;0,00;0,00;16,00;0,00
2020-12-20;22,00;0,00;16,00;16,00;15,00;0,00;49,18;0,00;0,00;0,00;0,00;33,00;0,00;17,11;0,00;0,00;24,44;0,00;17,29;0,00;0,00
2020-12-27;0,00;0,00;0,00;0,00;0,00;11,00;0,00;12,00;20,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00
2021-01-03;27,00;0,00;17,00;29,00;0,00;0,00;0,00;14,85;0,00;0,00;0,00;27,00;0,00;39,27;0,00;49,09;0,00;0,00;20,65;0,00;20,65
2021-01-10;0,00;46,00;26,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;16,00;10,00;0,00;0,00
2021-01-17;31,00;0,00;13,00;29,00;0,00;27,13;0,00;0,00;0,00;0,00;28,42;0,00;0,00;11,92;0,00;26,23;0,00;24,80;0,00;23,25;0,00
2021-01-24;17,00;0,00;0,00;0,00;0,00;18,31;22,23;24,85;0,00;0,00;0,00;25,50;14,17;0,00;0,00;31,57;0,00;0,00;0,00;23,18;18,55
2021-01-31;0,00;0,00;0,00;28,00;0,00;15,00;0,00;0,00;0,00;8,00;13,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;0,00;0,00;0,00;37,00;24,00;32,00;0,00;26,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;11,00;0,00;17,00;0,00;0,00;0,00
2021-02-14;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;14,00;15,00;0,00;11,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;22,00;13,00;38,00;0,00;25,00;104,82;0,00;0,00;0,00;41,25;13,75;41,25;0,00;24,44;44,00;19,56;0,00;0,00;0,00;0,00;20,43
2021-02-28;0,00;30,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;10,00;9,00;0,00;13,00;10,00;14,00;0,00;10,00;9,00;0,00
2021-03-07;13,00;0,00;0,00;0,00;0,00;63,70;0,00;0,00;0,00;0,00;33,80;13,00;0,00;0,00;0,00;36,40;0,00;24,38;14,63;0,00;34,13
2021-03-14;24,00;0,00;0,00;28,00;21,00;37,33;0,00;0,00;0,00;0,00;13,33;0,00;16,00;0,00;0,00;62,40;28,80;0,00;0,00;0,00;0,00
2021-03-21;0,00;26,00;13,00;0,00;0,00;13,00;0,00;0,00;10,00;0,00;18,00;22,00;8,00;7,00;0,00;6,00;12,00;12,00;12,00;21,00;0,00
2021-03-28;0,00;0,00;25,00;16,00;0,00;13,00;0,00;14,00;18,00;6,00;17,00;13,00;15,00;0,00;9,00;0,00;0,00;20,00;0,00;0,00;0,00
2021-04-04;0,00;0,00;18,00;22,00;15,00;11,00;0,00;13,00;0,00;0,00;9,00;16,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;27,00;38,00;37,00;0,00;17,00;37,29;0,00;0,00;0,00;13,50;0,00;56,70;0,00;15,75;0,00;40,50;33,75;0,00;0,00;15,00;0,00
2021-04-18;17,00;32,00;0,00;0,00;16,00;15,69;0,00;0,00;0,00;0,00;19,83;59,50;0,00;0,00;0,00;0,00;43,71;15,45;0,00;0,00;40,18
2021-04-25;0,00;0,00;14,00;0,00;31,00;24,00;30,00;0,00;0,00;10,00;21,00;16,00;0,00;10,00;0,00;16,00;12,00;10,00;0,00;0,00;20,00
2021-05-02;60,00;0,00;0,00;14,00;0,00;13,04;0,00;0,00;0,00;0,00;21,82;43,64;0,00;20,77;0,00;34,62;32,31;0,00;15,38;12,31;0,00
2021-05-09;23,00;20,00;0,00;24,00;0,00;69,00;27,06;0,00;0,00;0,00;28,11;94,56;0,00;0,00;0,00;29,90;0,00;15,33;21,47;0,00;0,00
2021-05-16;31,00;20,00;0,00;33,00;22,00;78,79;37,46;0,00;0,00;0,00;33,58;95,58;0,00;16,69;0,00;26,23;0,00;20,15;17,05;13,95;0,00
2021-05-23;39,00;0,00;0,00;41,00;0,00;113,10;18,20;0,00;0,00;0,00;0,00;105,86;0,00;0,00;0,00;41,29;0,00;15,60;26,52;0,00;0,00
2021-05-30;48,00;30,00;19,00;20,00;0,00;41,51;22,05;0,00;46,70;0,00;66,67;114,67;32,00;0,00;18,29;128,00;0,00;31,50;16,50;0,00;16,50
2021-06-06;59,00;52,00;0,00;41,00;0,00;74,73;0,00;0,00;69,49;0,00;77,77;118,00;34,86;0,00;0,00;77,88;16,52;0,00;68,08;0,00;25,72
2021-06-13;45,00;45,00;23,00;32,00;22,00;54,00;0,00;0,00;28,29;39,71;58,24;76,76;0,00;0,00;0,00;104,21;40,26;36,00;49,50;40,50;22,50
2021-06-20;0,00;17,00;17,00;56,00;18,00;34,00;24,00;0,00;13,00;0,00;29,00;53,00;9,00;0,00;0,00;24,00;0,00;0,00;36,00;0,00;16,00
