Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-06-06;0,00;0,00;13,00;0,00;5,00;12,00;0,00;0,00;0,00;12,00;11,00;0,00;28,00;0,00;12,00;0,00;28,00;12,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00
2021-06-13;66,00;0,00;43,24;0,00;9,10;0,00;0,00;0,00;16,82;0,00;0,00;12,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00
2021-06-20;85,00;22,97;0,00;16,08;13,78;24,85;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;16,00;0,00;0,00;0,00;9,00;0,00;0,00;14,00;12,00
2021-06-27;29,00;0,00;0,00;0,00;22,31;11,86;0,00;0,00;0,00;15,00;15,00;9,00;35,00;11,00;0,00;16,00;18,00;0,00;0,00;0,00;13,00;0,00;19,00;57,00;0,00;28,00;13,00;0,00
2021-07-04;60,00;0,00;0,00;0,00;64,62;10,43;0,00;0,00;0,00;30,00;15,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-11;41,00;0,00;27,33;43,28;15,94;0,00;32,03;0,00;0,00;0,00;16,00;0,00;0,00;0,00;30,00;0,00;15,00;11,00;35,00;0,00;0,00;23,00;0,00;32,00;12,00;22,00;0,00;0,00
2021-07-18;29,00;0,00;24,54;0,00;46,85;22,41;26,36;0,00;0,00;27,00;44,00;0,00;27,00;0,00;0,00;0,00;40,00;14,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;36,00
2021-07-25;55,00;0,00;25,21;27,50;55,00;0,00;0,00;17,02;0,00;39,00;0,00;19,00;0,00;0,00;17,00;12,00;0,00;32,00;0,00;10,00;0,00;0,00;0,00;13,00;41,00;0,00;0,00;0,00
2021-08-01;65,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;10,40;20,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00
2021-08-08;55,00;0,00;36,67;13,75;32,08;13,10;0,00;0,00;13,10;21,00;31,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00
2021-08-15;59,00;20,42;22,69;49,92;22,69;0,00;17,96;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;16,00;29,00;56,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2021-08-22;68,00;36,27;52,13;36,27;56,67;0,00;17,00;0,00;22,23;0,00;23,00;20,00;0,00;17,00;0,00;0,00;12,00;18,00;0,00;0,00;18,00;0,00;0,00;39,00;28,00;13,00;0,00;0,00
2021-08-29;35,00;28,44;30,63;32,81;35,00;18,15;0,00;14,26;0,00;26,00;11,00;11,00;0,00;12,00;0,00;15,00;52,00;0,00;22,00;10,00;0,00;0,00;18,00;10,00;0,00;0,00;0,00;0,00
2021-09-05;30,00;27,69;25,38;0,00;0,00;0,00;11,74;0,00;0,00;11,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;67,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;34,00;68,00;24,93;38,53;24,93;28,77;14,38;0,00;15,69;18,00;11,00;11,00;0,00;0,00;0,00;0,00;20,00;22,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2021-09-19;19,00;30,88;16,63;0,00;26,13;0,00;12,21;0,00;32,57;20,00;0,00;20,00;0,00;47,00;18,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;13,00;0,00;15,00;0,00;0,00;0,00
2021-09-26;51,00;57,95;0,00;18,55;23,18;23,54;0,00;0,00;32,69;0,00;0,00;11,00;15,00;0,00;0,00;0,00;20,00;0,00;0,00;10,00;0,00;0,00;21,00;0,00;0,00;0,00;14,00;35,00
2021-10-03;13,00;39,00;43,33;36,83;26,00;0,00;24,70;13,00;0,00;16,00;0,00;0,00;14,00;35,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;13,00;17,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;40,00;37,65;40,00;14,12;0,00;25,81;29,68;0,00;33,55;15,00;0,00;15,00;0,00;17,00;0,00;0,00;38,00;28,00;11,00;0,00;0,00;0,00;0,00;17,00;13,00;22,00;0,00;0,00
2021-10-17;36,00;60,75;29,25;27,00;45,00;0,00;0,00;14,67;26,67;11,00;0,00;0,00;21,00;0,00;0,00;49,00;13,00;10,00;11,00;12,00;0,00;0,00;0,00;0,00;0,00;10,00;19,00;0,00
2021-10-24;20,00;42,22;66,67;40,00;26,67;0,00;0,00;22,50;0,00;11,00;0,00;0,00;18,00;35,00;26,00;0,00;12,00;0,00;0,00;13,00;0,00;0,00;11,00;14,00;12,00;0,00;0,00;0,00
2021-10-31;24,00;48,00;36,00;26,40;55,20;16,00;42,67;41,33;10,67;20,00;13,00;29,00;0,00;0,00;11,00;0,00;13,00;0,00;0,00;0,00;43,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00
