Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-10-25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;6,00;11,00;0,00;8,00;0,00;66,00;11,00;0,00
2020-11-01;0,00;10,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;6,00;24,00;0,00;22,00;0,00;0,00;0,00
2020-11-08;21,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;42,00;16,80;0,00;26,25;0,00;39,38;0,00;18,38;0,00;21,00;15,75
2020-11-15;0,00;0,00;0,00;0,00;11,00;0,00;0,00;18,00;0,00;0,00;9,00;13,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00
2020-11-22;0,00;21,00;0,00;15,00;47,00;0,00;0,00;0,00;0,00;0,00;11,00;5,00;0,00;0,00;0,00;7,00;0,00;0,00;14,00;0,00;0,00
2020-11-29;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;30,00;0,00;18,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00
2020-12-06;0,00;20,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;19,00;7,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;4,00;0,00;0,00;0,00;20,00;10,00;0,00;21,00;0,00;0,00
2020-12-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;43,00;0,00;0,00;19,28;0,00;37,00;16,00;0,00;0,00;0,00;94,60;21,50;0,00;0,00;0,00;51,06;0,00;0,00;0,00;0,00;0,00
2021-01-03;0,00;21,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;21,00;0,00;30,00;0,00;0,00;61,00;0,00;0,00;0,00;16,80;0,00;16,80;46,20;0,00;0,00;36,75;0,00;0,00;0,00;0,00;0,00
2021-01-17;23,00;0,00;35,94;0,00;0,00;0,00;23,00;0,00;40,00;0,00;0,00;26,83;0,00;0,00;0,00;35,78;0,00;0,00;0,00;0,00;24,35
2021-01-24;56,00;0,00;16,21;16,21;0,00;0,00;0,00;0,00;30,00;16,00;0,00;0,00;0,00;0,00;21,33;0,00;0,00;0,00;0,00;0,00;34,15
2021-01-31;16,00;16,00;20,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;40,00;0,00;0,00;14,81;0,00;29,00;0,00;23,00;32,00;0,00;0,00;24,00;0,00;0,00;0,00;40,00;45,33;0,00;38,67;0,00;0,00
2021-02-14;28,00;48,63;17,68;0,00;0,00;22,00;16,00;0,00;0,00;0,00;0,00;44,00;16,00;0,00;25,20;0,00;0,00;28,00;22,40;0,00;0,00
2021-02-21;20,00;29,23;18,46;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;0,00;0,00;28,57;0,00;18,57;30,00;0,00;0,00
2021-02-28;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;30,00;34,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,71;25,71;0,00;0,00;0,00;117,27;0,00;0,00;0,00;0,00;0,00
2021-03-14;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;9,00;0,00;0,00;25,00;25,00
2021-03-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;9,00;7,00;8,00;18,00;19,00;0,00;27,00;0,00;0,00;18,00
2021-03-28;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;9,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;0,00;19,00;28,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;10,00;9,00;5,00;0,00;10,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;22,00;17,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;39,60;0,00;0,00;49,50;0,00;56,38;0,00;0,00;0,00
2021-04-18;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;8,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;4,00;0,00;10,00;19,00;0,00;0,00;0,00;0,00;11,00
2021-05-02;19,00;0,00;0,00;49,69;0,00;0,00;0,00;0,00;0,00;0,00;60,80;0,00;0,00;21,71;0,00;65,14;46,14;0,00;0,00;0,00;14,93
2021-05-09;73,00;30,66;73,00;0,00;0,00;16,00;18,00;0,00;0,00;48,67;24,33;24,33;0,00;0,00;0,00;36,50;0,00;0,00;0,00;0,00;18,93
2021-05-16;32,00;0,00;0,00;0,00;18,91;0,00;0,00;0,00;0,00;0,00;52,00;76,00;40,00;21,33;37,33;66,67;0,00;0,00;32,00;0,00;0,00
2021-05-23;35,00;65,43;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;65,63;43,75;0,00;48,46;0,00;45,77;48,46;0,00;19,60;18,20;0,00
2021-05-30;0,00;0,00;13,00;15,00;0,00;23,00;0,00;0,00;0,00;0,00;10,00;23,00;0,00;0,00;0,00;7,00;12,00;29,00;0,00;0,00;0,00
2021-06-06;38,00;46,77;21,92;0,00;0,00;16,00;0,00;34,00;0,00;0,00;25,33;160,44;0,00;0,00;0,00;114,00;0,00;0,00;0,00;19,00;0,00
2021-06-13;23,00;27,31;0,00;0,00;28,75;74,00;38,00;0,00;23,00;0,00;23,00;103,50;0,00;0,00;17,89;94,56;0,00;73,06;0,00;0,00;0,00
2021-06-20;0,00;88,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;10,00;14,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;47,00
2021-06-27;40,00;88,89;0,00;0,00;0,00;17,00;42,00;23,00;22,00;0,00;0,00;88,00;0,00;0,00;0,00;96,00;53,33;0,00;0,00;0,00;0,00
2021-07-04;0,00;13,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;7,00;0,00;18,00;0,00;0,00;10,00;22,00;8,00;0,00;0,00;0,00;15,00
2021-07-11;0,00;45,00;0,00;0,00;0,00;20,00;0,00;20,00;0,00;0,00;12,00;17,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;0,00;24,00
2021-07-18;45,00;27,58;0,00;40,65;0,00;0,00;0,00;0,00;28,00;40,91;32,73;118,64;0,00;34,41;26,47;140,29;0,00;0,00;0,00;0,00;0,00
2021-07-25;48,00;75,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,55;65,45;148,36;0,00;0,00;0,00;157,33;0,00;0,00;0,00;0,00;0,00
2021-08-01;0,00;27,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;8,00;12,00;22,00;0,00;0,00;0,00;44,00;0,00;0,00;0,00;19,00;0,00
2021-08-08;66,00;83,60;57,20;42,53;0,00;22,00;0,00;44,00;0,00;16,50;82,50;123,75;0,00;55,44;26,40;139,92;0,00;0,00;51,18;28,29;18,86
2021-08-15;50,00;50,00;0,00;0,00;27,94;0,00;0,00;0,00;0,00;0,00;95,83;87,50;87,50;0,00;0,00;76,32;0,00;0,00;0,00;0,00;0,00
2021-08-22;0,00;20,00;0,00;0,00;0,00;28,00;0,00;0,00;29,00;0,00;34,00;25,00;0,00;0,00;20,00;14,00;7,00;0,00;0,00;0,00;43,00
2021-08-29;17,00;38,25;0,00;0,00;0,00;0,00;0,00;60,00;0,00;21,25;68,00;21,25;29,75;0,00;0,00;51,00;65,57;22,23;0,00;0,00;18,31
2021-09-05;43,00;0,00;0,00;28,17;0,00;23,00;0,00;0,00;87,00;0,00;93,82;58,64;0,00;0,00;0,00;26,88;0,00;0,00;0,00;0,00;0,00
2021-09-12;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;156,00;48,00;0,00;0,00;0,00;86,80;0,00;0,00;0,00;28,00;0,00
2021-09-19;0,00;26,00;0,00;0,00;0,00;33,00;37,00;0,00;0,00;7,00;21,00;22,00;0,00;0,00;14,00;24,00;0,00;0,00;0,00;0,00;19,00
2021-09-26;0,00;38,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;18,00;17,00;4,00;14,00;28,00;22,00;8,00;0,00;0,00;0,00;28,00
2021-10-03;0,00;36,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;9,00;31,00;22,00;14,00;15,00;0,00
2021-10-10;70,00;59,57;0,00;19,36;26,81;0,00;0,00;0,00;0,00;0,00;214,12;41,18;0,00;0,00;0,00;83,46;70,00;0,00;0,00;30,20;0,00
2021-10-17;27,00;94,50;19,50;0,00;0,00;0,00;0,00;19,00;0,00;30,86;150,43;23,14;0,00;0,00;0,00;56,70;0,00;85,05;49,95;32,40;0,00
2021-10-24;37,00;29,60;0,00;0,00;0,00;25,00;0,00;32,00;0,00;0,00;205,56;74,00;0,00;0,00;0,00;52,86;0,00;19,19;0,00;0,00;0,00
2021-10-31;24,00;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;400,00;96,00;0,00;0,00;0,00;64,00;0,00;29,33;0,00;0,00;81,33
2021-11-07;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;86,00;9,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2021-11-14;26,00;36,11;0,00;0,00;20,22;0,00;0,00;0,00;0,00;60,67;190,67;52,00;0,00;20,80;0,00;62,40;0,00;0,00;0,00;0,00;0,00
2021-11-21;67,00;24,76;0,00;18,93;0,00;18,00;0,00;0,00;0,00;20,94;92,13;46,06;50,25;0,00;0,00;58,96;21,44;0,00;0,00;0,00;19,14
2021-11-28;30,00;52,50;64,50;0,00;0,00;22,00;0,00;30,00;0,00;0,00;60,00;72,86;21,43;0,00;0,00;122,73;0,00;0,00;42,27;21,82;0,00
2021-12-05;26,00;24,56;34,67;0,00;0,00;0,00;0,00;31,00;0,00;52,00;151,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,53
2021-12-12;0,00;42,00;0,00;13,00;0,00;0,00;0,00;26,00;0,00;9,00;13,00;16,00;0,00;0,00;11,00;0,00;0,00;40,00;0,00;26,00;47,00
2021-12-19;0,00;17,00;49,00;20,00;0,00;0,00;0,00;54,00;0,00;0,00;31,00;0,00;0,00;0,00;10,00;11,00;0,00;0,00;0,00;0,00;38,00
