Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-09-20;45,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;4,00;0,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;31,00;0,00;4,00;0,00;0,00;0,00;6,00;10,00;0,00;5,00;11,00;0,00;6,00;0,00;0,00;9,00;0,00;6,20;0,00;0,00;24,80;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2020-10-04;45,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;5,11;0,00;5,11;0,00;0,00;6,00;3,00;0,00;0,00;4,00
2020-10-11;34,00;0,00;0,00;0,00;0,00;0,00;11,00;3,00;0,00;5,00;4,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;26,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;5,00
2020-10-25;0,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;13,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00
2020-11-08;0,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;6,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00
2020-11-15;12,00;0,00;4,00;8,00;3,00;0,00;0,00;17,00;0,00;0,00;0,00;9,00;3,00;0,00;0,00;0,00;0,00;3,27;5,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;18,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00
2020-11-29;11,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;5,00;0,00;0,00;6,00;0,00;4,40;0,00;8,80;4,40;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2020-12-06;19,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;8,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00
2020-12-13;24,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;6,00;0,00;0,00;5,00;0,00;11,00;0,00;0,00;0,00;0,00;18,00;10,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;34,00;4,00;5,00;0,00;4,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00
2020-12-27;27,00;0,00;0,00;0,00;0,00;7,00;4,00;11,00;3,00;11,00;7,00;0,00;8,00;9,00;3,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
