Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2021-03-28;4,00;6,00;0,00;0,00;2,00;0,00;0,00;7,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-04-04;11,00;10,00;0,00;2,00;0,00;7,00;3,00;0,00;0,00;0,00;5,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;20,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00
2021-04-18;10,00;8,00;3,00;0,00;6,00;0,00;3,00;11,00;0,00;3,00;0,00;4,00;0,00;0,00;0,00;0,00;6,00;2,00;0,00;0,00;0,00
2021-04-25;11,00;13,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;4,00;0,00;0,00;5,00;0,00
2021-05-02;15,00;7,00;3,00;15,00;2,00;0,00;6,00;8,00;5,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;13,00;4,00;3,00;6,00;5,00;10,00;0,00;7,00;0,00;0,00;0,00;0,00;2,00;8,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-05-16;19,00;12,00;2,00;0,00;6,00;10,00;6,00;4,00;0,00;0,00;0,00;4,00;3,00;10,00;0,00;0,00;2,00;0,00;7,00;0,00;0,00
2021-05-23;32,00;12,00;0,00;0,00;4,00;0,00;10,32;5,16;0,00;0,00;0,00;5,16;0,00;7,23;0,00;0,00;0,00;0,00;0,00;4,13;0,00
2021-05-30;14,00;18,00;3,00;9,00;3,00;0,00;6,00;3,00;4,00;0,00;7,00;8,00;4,00;7,00;0,00;0,00;0,00;6,00;6,00;0,00;2,00
2021-06-06;35,00;10,00;5,00;10,00;8,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;6,00;2,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2021-06-13;41,00;19,00;8,00;4,00;5,00;5,00;6,00;11,00;0,00;4,00;2,00;5,00;4,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;3,00
2021-06-20;41,00;11,00;2,00;0,00;0,00;6,00;6,00;16,00;5,00;0,00;0,00;7,00;0,00;3,00;6,00;0,00;0,00;0,00;9,00;0,00;0,00
2021-06-27;33,00;23,00;8,00;0,00;10,00;6,00;10,00;10,00;0,00;2,00;0,00;7,00;10,00;3,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00
2021-07-04;55,00;23,00;4,00;9,00;14,00;8,00;9,00;16,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00
2021-07-11;52,00;21,00;13,00;5,00;22,00;11,00;18,00;14,00;0,00;0,00;0,00;8,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;5,00
2021-07-18;67,00;24,00;11,00;13,00;20,00;21,00;14,00;20,00;4,00;6,00;5,00;6,00;5,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-07-25;63,00;34,00;12,00;6,00;20,00;7,00;13,00;13,00;0,00;8,00;0,00;9,00;4,00;6,00;0,00;0,00;3,00;8,00;0,00;0,00;5,00
2021-08-01;38,00;33,00;5,00;9,00;13,00;12,00;8,00;12,00;6,00;0,00;3,00;5,00;4,00;5,00;0,00;0,00;8,00;0,00;0,00;5,00;0,00
