Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
20/06/2021;11;0;14,67;0;0;0;0;17;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
27/06/2021;21;0;21;10,5;7;8;0;0;0;0;0;0;9;0;6;0;0;0;11,81;0;10,5;0;0;0;0;0;9;0
04/07/2021;18;7,2;36;28,8;32,4;0;0;0;16;0;17;0;16;8;0;6;0;0;0;0;0;0;8;0;0;0;0;7
11/07/2021;14;7;35;0;10,5;0;8;0;0;0;0;0;0;0;0;8;0;8,91;0;0;7,64;0;0;6;0;0;0;0
18/07/2021;37;0;0;0;0;0;7;21;0;0;0;10;0;7;0;0;0;0;0;0;6,61;0;8;0;0;22;0;0
25/07/2021;49;24,5;7;0;17,5;0;0;16;0;0;0;0;9;0;0;0;0;8,17;0;0;0;0;16;0;0;0;0;17
01/08/2021;24;0;37,71;0;10,29;8;0;0;0;0;0;0;0;6;0;0;10;0;9,33;0;0;7;0;0;8;0;0;0
08/08/2021;25;0;17,86;0;0;0;19;0;0;0;0;0;0;0;15;0;0;0;0;6,58;7,89;0;0;0;0;0;0;7
15/08/2021;38;0;0;10,36;0;9;10;0;0;0;0;12;20;0;0;13;0;0;0;6,55;0;0;0;0;11;0;0;0
22/08/2021;46;0;7,08;0;0;0;0;0;20;0;7;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;8;14
29/08/2021;78;0;0;10,17;6,78;0;0;0;0;0;0;8;0;0;26;30;0;10,76;0;0;18,83;0;0;0;0;0;0;0
05/09/2021;28;0;21;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10,67;0;0;16;0;7;9;0;0;0;0
12/09/2021;19;0;9,5;0;0;0;8;0;0;0;0;0;0;0;12;0;15;8,14;0;6,79;8,14;0;10;8;8;0;0;0
19/09/2021;14;21;28;0;0;0;24;0;8;7;7;8;0;0;0;12;0;0;6,36;0;0;16;0;0;12;13;0;8
26/09/2021;0;2;0;4;0;0;8;0;0;0;0;7;0;0;0;0;0;0;0;0;0;12;10;0;8;0;0;24
03/10/2021;16;9,6;0;12,8;0;0;0;0;0;0;0;0;0;0;7;20;12;0;0;9,33;6,67;0;0;7;0;0;0;0
10/10/2021;17;20,4;10,2;0;0;0;0;0;0;0;0;0;0;0;0;12;23;0;0;0;0;8;0;0;0;0;0;0
17/10/2021;24;20,57;0;10,29;10,29;0;0;9;0;0;9;8;0;12;0;0;0;0;0;18,67;0;0;0;0;0;0;9;0
24/10/2021;19;19;19;0;0;11;9;0;0;0;0;0;0;9;0;0;0;0;0;9,5;16,29;0;0;9;0;0;9;0
31/10/2021;23;26,29;0;13,14;32,86;17;34;0;0;0;0;0;0;0;0;12;0;0;0;0;14,06;0;0;0;0;10;0;0
07/11/2021;21;0;0;0;7;7;0;0;0;0;13;0;0;10;0;0;0;0;0;0;9,8;0;0;0;0;0;13;0
14/11/2021;26;22,75;0;0;9,75;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;8,21;0;0;0;0;0;19;0
21/11/2021;18;14,4;0;0;0;13;0;7;11;0;0;12;0;0;0;0;0;12,86;9;0;7,71;0;0;0;0;0;0;0
28/11/2021;7;24,5;14;24,5;0;23;7;10;12;10;0;14;6;20;0;0;0;8,4;9,8;9,8;11,2;0;0;0;0;0;10;0
05/12/2021;27;40,5;20,25;0;10,13;0;10;0;13;0;0;0;0;0;8;0;0;25,65;22,95;0;25,65;0;0;0;0;0;0;0
12/12/2021;13;29,25;16,25;13;22,75;0;0;0;14;0;0;0;0;7;0;0;0;0;0;20,22;0;0;12;0;15;16;0;0
19/12/2021;69;0;24,15;0;24,15;0;0;0;0;0;0;0;0;0;39;0;11;0;13,27;37,15;0;9;9;0;0;0;0;0
26/12/2021;74;30,27;16,82;13,45;0;0;20;24;0;19;0;29;10;56;20;0;13;0;25,56;10,76;0;0;0;9;0;0;0;0
02/01/2022;55;20,63;13,75;10,31;6,88;0;7;0;14;7;13;15;0;0;0;0;0;0;0;0;13,41;0;0;0;0;0;22;0
09/01/2022;12;21;9;0;0;0;0;14;0;7;14;8;0;0;16;0;0;0;0;0;21,33;0;0;0;0;24;7;0
16/01/2022;29;12,89;12,89;19,33;0;0;12;21;7;0;0;8;0;13;0;10;8;0;17,14;0;0;0;9;0;12;17;0;0
23/01/2022;33;16,5;9,9;0;19,8;0;10;0;11;0;0;7;14;0;0;0;0;0;8,25;13,75;0;0;0;0;0;0;0;0
30/01/2022;40;23,33;0;0;0;0;0;12;12;7;0;12;9;10;11;14;0;0;0;0;8;0;0;0;0;0;0;0
06/02/2022;37;23,55;26,91;6,73;10,09;0;11;0;6;0;7;0;0;0;10;0;0;7,93;9,25;0;6,61;0;0;0;0;0;0;0
13/02/2022;43;16,54;9,92;9,92;6,62;13;0;7;0;0;9;0;31;0;0;0;0;0;0;0;6,72;0;0;0;8;0;0;0
20/02/2022;35;10,5;0;10,5;0;0;20;0;8;21;0;7;0;7;10;0;0;0;5,38;12,12;0;0;0;0;0;12;0;0
27/02/2022;0;0;6;4;4;7;13;18;15;0;0;0;0;9;0;0;0;0;5;4;0;12;0;0;0;0;0;9
06/03/2022;36;18;21,6;14,4;10,8;0;0;0;15;0;0;0;0;9;15;6;0;0;13,33;0;0;8;0;16;0;0;0;0
13/03/2022;32;7,11;17,78;17,78;7,11;11;12;0;10;0;0;0;0;0;38;10;0;0;28;0;0;14;0;0;0;0;0;0
20/03/2022;27;0;10,13;16,88;0;0;9;14;18;15;10;0;0;0;18;0;0;6,43;48,86;0;0;8;6;0;0;0;0;6
27/03/2022;19;0;0;9,5;0;16;11;9;0;0;0;0;11;0;0;0;0;0;16,47;21,53;0;5;0;0;0;0;0;7
03/04/2022;30;0;16,67;20;10;0;0;9;16;5;0;0;5;10;0;0;0;0;0;6,82;0;0;5;0;0;7;0;0
10/04/2022;39;9,75;13;0;16,25;5;0;0;0;0;0;0;0;0;10;0;5;6,72;0;22,86;29,59;0;0;0;0;0;0;0
17/04/2022;32;12,8;9,6;6,4;0;0;0;10;0;0;0;0;0;0;0;6;0;0;0;0;5,33;0;6;0;0;0;6;0
24/04/2022;18;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;11;6;5;0;0;5;0
01/05/2022;30;10;3,33;0;0;0;0;0;23;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;17
08/05/2022;34;0;0;0;0;0;9;0;0;0;0;6;5;6;0;0;0;0;10,88;5,44;0;0;0;0;0;0;0;0
15/05/2022;21;7;17,5;0;17,5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0
22/05/2022;27;0;10,13;13,5;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
29/05/2022;10;0;0;16,67;0;7;0;0;0;0;0;0;0;6;0;0;0;0;0;20;7,5;0;0;9;0;17;0;10
05/06/2022;18;0;21,6;0;0;8;0;0;0;0;7;0;0;0;10;0;0;0;0;0;8,31;0;0;0;0;10;13;12
12/06/2022;44;13,54;6,77;0;0;0;0;0;0;0;12;36;11;12;0;8;0;9,33;0;5,33;0;0;0;0;0;11;0;0
19/06/2022;68;0;10,2;0;0;0;0;0;16;0;14;0;6;0;16;0;0;0;0;0;0;0;0;0;0;13;0;0
26/06/2022;40;0;16,67;10;13,33;0;0;0;0;0;7;0;8;0;6;16;8;0;0;0;0;0;0;0;0;0;0;17
03/07/2022;27;0;10,13;0;0;11;33;0;0;0;9;0;0;11;0;17;0;0;0;0;0;0;0;0;0;0;0;0
10/07/2022;40;0;333,33;0;0;0;0;0;8;0;18;0;24;0;0;0;10;17,33;0;0;25,33;0;0;0;7;0;12;0
17/07/2022;30;0;43,33;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;9,13;0;0;0;0;7;0;0;0
24/07/2022;41;0;34,17;0;0;6;0;0;0;0;0;16;0;0;0;0;7;0;0;10,93;10,93;0;0;0;0;8;0;0
31/07/2022;45;0;13,85;0;10,38;13;0;0;26;0;7;37;0;0;0;0;0;0;0;0;0;0;0;0;0;7;19;0
