Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-03-07;0,00;14,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;11,00;0,00;7,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;15,00
2021-03-14;21,00;0,00;0,00;12,35;18,53;0,00;0,00;0,00;0,00;0,00;42,00;31,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;0,00;29,00;21,00;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;29,00;0,00;0,00;0,00
2021-03-28;0,00;31,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00
2021-04-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;50,00;16,00
2021-04-11;0,00;12,00;19,00;37,00;0,00;0,00;0,00;0,00;50,00;0,00;37,00;0,00;0,00;31,00;0,00;0,00;0,00;22,00;0,00;16,00;0,00
2021-04-18;23,00;25,56;0,00;0,00;0,00;0,00;0,00;23,00;0,00;17,69;0,00;19,46;26,54;32,86;41,62;0,00;0,00;0,00;0,00;14,00;0,00
2021-04-25;0,00;26,00;34,00;0,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;13,00;35,00
2021-05-02;59,00;0,00;0,00;23,35;0,00;15,00;0,00;0,00;0,00;0,00;51,85;55,42;0,00;0,00;0,00;0,00;0,00;0,00;54,00;0,00;0,00
2021-05-09;44,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;14,08;54,56;0,00;15,71;0,00;0,00;0,00;0,00;0,00;19,00;40,00
2021-05-16;0,00;17,00;0,00;0,00;0,00;0,00;0,00;19,00;40,00;0,00;26,00;15,00;0,00;0,00;0,00;41,00;0,00;22,00;0,00;0,00;0,00
2021-05-23;23,00;14,53;0,00;0,00;0,00;28,00;15,00;0,00;0,00;0,00;31,85;24,77;0,00;0,00;0,00;18,82;0,00;0,00;29,00;0,00;21,00
2021-05-30;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;33,00;38,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;32,00;0,00;14,77;18,46;0,00;0,00;0,00;0,00;14,00;0,00;82,82;15,06;0,00;0,00;0,00;106,67;36,27;23,00;0,00;0,00;38,00
2021-06-13;15,00;0,00;0,00;0,00;58,75;27,00;0,00;0,00;0,00;0,00;0,00;65,63;0,00;0,00;15,00;27,86;36,43;0,00;0,00;0,00;0,00
2021-06-20;21,00;0,00;18,53;13,59;0,00;28,00;0,00;0,00;0,00;14,00;50,75;68,25;0,00;0,00;0,00;35,70;0,00;0,00;0,00;0,00;14,00
2021-06-27;0,00;0,00;0,00;24,00;11,00;27,00;37,00;17,00;0,00;0,00;23,00;49,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;20,00;0,00;0,00;20,00;18,75;23,00;36,00;0,00;44,00;0,00;29,09;67,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;51,00;0,00
2021-07-11;33,00;0,00;0,00;0,00;22,00;72,00;0,00;0,00;0,00;0,00;22,00;60,50;0,00;14,44;0,00;0,00;0,00;0,00;19,00;0,00;32,00
2021-07-18;30,00;0,00;0,00;0,00;0,00;0,00;21,00;23,00;48,00;31,88;26,25;95,63;0,00;0,00;0,00;31,07;0,00;51,00;65,00;0,00;0,00
2021-07-25;0,00;23,00;14,00;29,00;16,00;0,00;0,00;0,00;0,00;0,00;18,00;35,00;0,00;0,00;0,00;46,00;21,00;0,00;23,00;0,00;0,00
2021-08-01;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;11,00;26,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;42,00
2021-08-08;36,00;46,80;0,00;37,20;14,40;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-15;0,00;14,00;14,00;0,00;0,00;0,00;28,00;30,00;0,00;0,00;32,00;26,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;21,00
2021-08-22;100,00;0,00;0,00;22,22;0,00;32,00;0,00;0,00;0,00;0,00;49,09;41,82;0,00;0,00;0,00;30,53;0,00;0,00;0,00;0,00;0,00
2021-08-29;16,00;43,08;0,00;0,00;34,46;21,00;27,00;0,00;19,00;0,00;21,33;67,56;0,00;38,40;0,00;24,53;0,00;29,00;0,00;0,00;0,00
2021-09-05;0,00;0,00;14,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;54,00;0,00;0,00;0,00;24,00;0,00;0,00;18,00;0,00;0,00
2021-09-12;0,00;15,00;0,00;0,00;33,00;41,00;0,00;0,00;0,00;17,00;34,00;12,00;0,00;34,00;0,00;23,00;0,00;18,00;0,00;0,00;24,00
2021-09-19;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;31,00;0,00;16,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;0,00;22,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;27,00;42,00;9,00;0,00;0,00;45,00;0,00;15,00;0,00;0,00;0,00
2021-10-03;0,00;17,00;0,00;0,00;0,00;0,00;0,00;15,00;14,00;22,00;17,00;35,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;22,00;40,00
2021-10-10;16,00;24,62;17,23;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42,00;14,00;22,00;26,00;21,00;0,00;0,00
2021-10-17;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;32,00;0,00;38,00;15,00;0,00;0,00;16,00;38,00;17,00;16,00;0,00;0,00;0,00
2021-10-24;0,00;0,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00
2021-10-31;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;31,00;0,00;28,00;0,00;0,00;0,00;62,00;31,00;0,00;0,00;25,00
2021-11-07;0,00;53,00;30,00;15,00;16,00;14,00;0,00;0,00;0,00;0,00;40,00;0,00;21,00;44,00;0,00;15,00;16,00;17,00;0,00;0,00;42,00
2021-11-14;16,00;43,08;16,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;39,47;24,53;16,00;0,00;0,00;33,00;0,00;18,00
2021-11-21;20,00;0,00;0,00;0,00;0,00;0,00;0,00;64,00;20,00;0,00;0,00;0,00;20,00;0,00;0,00;16,84;0,00;0,00;28,00;0,00;0,00
2021-11-28;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;13,00;0,00;13,00;19,00;0,00
2021-12-05;50,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;21,43;0,00;0,00;0,00;0,00;45,74;0,00;0,00;40,00;15,00
2021-12-12;32,00;34,46;0,00;0,00;0,00;0,00;0,00;29,00;0,00;19,56;40,89;21,33;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00
2021-12-19;0,00;32,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;29,00;23,00;0,00;57,00;0,00;47,00
2021-12-26;19,00;54,63;0,00;0,00;0,00;0,00;34,00;37,00;0,00;0,00;44,91;0,00;0,00;0,00;41,17;16,89;0,00;0,00;0,00;40,00;0,00
2022-01-02;43,00;25,80;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;30,46;55,54;0,00;0,00;0,00;61,88;0,00;0,00;0,00;0,00;16,00
